CHEMBL_ID,SMILES,DOCKING_SCORE
CHEMBL1258900,Cc1c[nH]c2ncnc(N3CCN(C(=O)[C@H](C[NH3+])Cc4ccc(Cl)cc4)CC3)c12,-10.96
CHEMBL2178598,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]C(C)(C)CO)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-10.912
CHEMBL1258780,[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]cc(C4CC4)c23)CC1,-10.881
CHEMBL407891,c1nc(N2CCc3[nH]c[nH+]c3C2)c2cc[nH]c2n1,-10.789
CHEMBL1170447,N#Cc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(F)cc4F)C3)c12,-10.768
CHEMBL1258781,[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]cc(Cl)c23)CC1,-10.647
CHEMBL2325995,[NH3+]C1(C(=O)N[C@H](CCC[NH+]2CCOCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-10.638
CHEMBL1258665,CCc1c[nH]c2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(Cl)cc4)CC3)c12,-10.559
CHEMBL2177361,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]CC4CC4)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-10.538
CHEMBL1257282,Cc1c[nH]c2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(F)cc4)CC3)c12,-10.532
CHEMBL1169623,[NH3+][C@]1(CNC(=O)c2ccc(F)cc2F)CCN(c2ncnc3[nH]cc(Cl)c23)C1,-10.516
CHEMBL1171993,N#Cc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(F)cc4)C3)c12,-10.489
CHEMBL2178597,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]C(C)(C)C)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-10.447
CHEMBL1258552,[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1,-10.421
CHEMBL469560,[NH3+]C[C@H](NCc1ccc(-c2ccnc3[nH]ccc23)s1)c1ccccc1,-10.387
CHEMBL2325990,C[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(S(C)(=O)=O)cc1,-10.378
CHEMBL1171673,Cc1c[nH]c2ncnc(N3CC[C@@]([NH3+])(CNC(=O)c4ccc(F)cc4)C3)c12,-10.337
CHEMBL2325737,[NH3+]C1(C(=O)N[C@H](CO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-10.329
CHEMBL2325993,C[NH+](C)CCC[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.32
CHEMBL2325987,C[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(F)cc1,-10.314
CHEMBL2325733,NS(=O)(=O)C[C@@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.287
CHEMBL2177371,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH3+])c4ccc(C(F)(F)F)cc4)CC3)c21,-10.272
CHEMBL1171994,Cc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(F)cc4)C3)c12,-10.238
CHEMBL1169610,[NH3+][C@]1(CNC(=O)c2ccc(F)cc2)CCN(c2ncnc3[nH]cc(Cl)c23)C1,-10.214
CHEMBL512480,[NH3+]C[C@H](C(=O)Nc1ccc(-c2ccnc3[nH]ccc23)s1)c1ccccc1,-10.202
CHEMBL2325727,C[NH+](C)CC[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.183
CHEMBL2325992,C[NH+](C)CC[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.183
CHEMBL523586,[NH3+]C[C@H](Cc1cccc(F)c1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,-10.179
CHEMBL1170261,CCc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(F)cc4)C3)c12,-10.168
CHEMBL1760760,CCOCCN(C[C@@H](O)C[N@H+]1CC[C@@]2(CCN(c3ncnc4[nH]nc(C)c34)C2)C1)S(=O)(=O)c1c(C)cccc1C,-10.147
